Study_ID,Species_scientific_name,Species_common_name,Comment
S_136,Mus musculus,129S1/SvlmJ mice,The authors did not report the scientific name
S_136,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_136,Rattus norvegicus,Wistar rat,The authors did not report the scientific name
S_136,Danio rerio,Zebrafish,na
S_136,Drosophila melanogaster,Fruit fly,na
S_136,Gallus domesticus,Chicken,na
S_136,Salmo salar,Atlantic salmon,na
S_137,Mus musculus,C57Bl/6 mice,The authors did not report the scientific name
S_137,Mus musculus,CD1 mice,The authors did not report the scientific name
S_137,Mus musculus,129S1/SvlmJ mice,The authors did not report the scientific name
S_137,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name
S_137,Rattus norvegicus,Wistar rat,The authors did not report the scientific name
S_137,Danio rerio,Zebrafish,na
S_137,Drosophila melanogaster,Fruit fly,na
S_137,Gallus domesticus,Chicken,na
S_137,Salmo salar,Atlantic salmon,na
S_150,Arenicola marina,Lugworm,The authors did not report the scientific name
S_150,Boleophthalmus pectinirostris,Mudskipper (herbivorous) ,na
S_150,Periophthalmus modestus,Mudskipper (omnivorous),na
S_150,Moina rectirostris,zooplankton,na
S_150,Moina micrura,zooplankton,na
S_150,Moina micrura,zooplankton,na
S_150,Callinectes sapidus,Blue crab,The authors did not report the scientific name
S_150,Spisula solidissima,Surf clam,The authors did not report the scientific name
S_150,Littorina brevicula,Asian periwinkle,na
S_150,Gastropoda,Neritid gastropod,The authors did not report the scientific name
S_150,Loligo vulgaris,Squid,na
S_150,Tringa totanus,Redshank,na
S_150,Mytilus edulis,Blue mussel,na
S_150,Venus,Clam,na
S_150,Hydropsyche exocellata,Trichoptera larvae,na
S_150,Crassostrea gigas,Oyster,na
S_150,Dreissena polymorpha,Zebra mussel ,na
S_150,Procambarus clarkii,Crab,na
S_150,Atrina serrata,Sawtooth pen clam ,na
S_150,Penaeus setiferus,White shrimp,na
S_150,Perna perna,Brown mussel ,na
S_150,Monacanthidae,Filefish,The authors did not report the scientific name
S_150,Cyprinidae,Sea bream,The authors did not report the scientific name
S_150,Pagrus major,Red sea bream,The authors did not report the scientific name
S_150,Pleuronectidae,Right eye flounder,The authors did not report the scientific name
S_150,Sphyrnidae,Hammerhead shark,The authors did not report the scientific name
S_150,Katsuwonus pelamis,Skipjack tuna,na
S_150,Hemiculter leucisculus,White semiknife carp ,na
S_150,Oreochromis niloticus,Tilapia,na
S_150,Clarias lazera,Leather catfish,na
S_150,Cyprinus carpio,Common carp,na
S_150,Carassius auratus,Crucian carp,na
S_150,Scorpaenidae,Rockfish,The authors did not report the scientific name
S_150,Alosa sapidissima,Shad,The authors did not report the scientific name
S_150,Mugil,Mullet,The authors did not report the scientific name
S_150,Mugil,Striped mullet,The authors did not report the scientific name
S_150,Sebastes sclegeli,Rockfish,na
S_150,Acipenser sinensis,Chinese sturgeon,na
S_150,Gymnocypris przewalskii,Cyprinid ,The authors did not report the common name
S_150,Racoma tibetanus,na,The authors did not report the common name
S_150,Gymoncypris namensis,Cyprinid ,The authors did not report the common name
S_150,Gymoncypris waddellii,Cyprinid ,The authors did not report the common name
S_150,Racoma biddulphi Gunther ,na,The authors did not report the common name
S_150,Schizopygopsis malacanthus,na,The authors did not report the common name
S_150,Gadus morhua,Cod,na
S_150,Pleuronectes platessa,Plaice,na
S_150,Platichthys flesus,Flounder,na
S_150,Anguilla anguilla,Eel,na
S_150,Xiphias gladius,Swordfish,na
S_150,Perca fluviatilis,Perch,na
S_150,Lota lota,Burbot,na
S_150,Coregonus lavaretus,Whitefish,na
S_150,Salmo salar,Salmon,na
S_150,Salmo trutta,Brown trout,na
S_150,Mugil cephalus,Pelagic fish,na
S_150,Dentex dentex,Pelagic fish,na
S_150,Trachurus mediterraneus,Pelagic fish,na
S_150,Lamna nasus,Pelagic fish,na
S_150,Mustelus mustelus,Pelagic fish,na
S_150,Xiphias gladius,Pelagic fish,na
S_150,Thunnus thynnus,Pelagic fish,na
S_150,Conger conger,Benthonic fish,na
S_150,Scyliorhinus canicula,Benthonic fish,na
S_150,Mullus surmuletus,Benthonic fish,na
S_150,Pagellus erythrinus,Benthonic fish,na
S_150,Scorpaena scrofa,Benthonic fish,na
S_150,Salmo trutta fario,Trout,na
S_150,Rutilus rutilus,Roach,na
S_150,Limanda limanda,Dab,na
S_150,Salvelinus namaycush,Lake trout,na
S_150,Salvelinus alpinus,Arctic char,na
S_150,Salmo trutta fario,Brown trout,na
S_150,Oncorhynchus mykiss,Rainbow trout,na
S_150,Leuciscus cephalus,Chub,na
S_150,Gobio gobio,River goby,na
S_150,Sardina pilchardus,Sardine,na
S_150,Engraulis encrasicholus,Anchovie,na
S_150,Anguilla anguilla,Eel,na
S_150,Micropterus dolomieu,Smallmouth bass,na
S_150,Micropterus salmoides,Largemouth bass,na
